zipcode_label,median_income
ZCTA5 02481,187819
ZCTA5 02482,160644
ZCTA5 02492,147375
ZCTA5 02493,196651
ZCTA5 02494,126866
ZCTA5 02532,75502
ZCTA5 02534,88844
ZCTA5 02535,79792
ZCTA5 02536,67880
ZCTA5 02537,95966
ZCTA5 02538,67993
ZCTA5 02539,75404
ZCTA5 02540,70758
ZCTA5 02542,48750
ZCTA5 02543,92188
ZCTA5 02553,-
ZCTA5 02554,92327
ZCTA5 02556,83659
ZCTA5 02557,66091
ZCTA5 02558,33679
ZCTA5 02559,71741
ZCTA5 02561,-
ZCTA5 02562,86310
ZCTA5 02563,84087
ZCTA5 02564,-
ZCTA5 02568,48869
ZCTA5 02571,59449
ZCTA5 02575,92188
ZCTA5 02576,84497
ZCTA5 02584,-
ZCTA5 02601,46821
ZCTA5 02630,106299
ZCTA5 02631,69606
ZCTA5 02632,80072
ZCTA5 02633,76793
ZCTA5 02635,62021
ZCTA5 02637,142692
ZCTA5 02638,70850
ZCTA5 02639,44787
ZCTA5 02641,-
ZCTA5 02642,62143
ZCTA5 02643,-
ZCTA5 02644,92286
ZCTA5 02645,78077
ZCTA5 02646,62933
ZCTA5 02647,-
ZCTA5 02648,82406
ZCTA5 02649,73841
ZCTA5 02650,77991
ZCTA5 02651,-
ZCTA5 02652,60250
ZCTA5 02653,61506
ZCTA5 02655,75000
ZCTA5 02657,47500
ZCTA5 02659,57540
ZCTA5 02660,54924
ZCTA5 02663,61875
ZCTA5 02664,56242
ZCTA5 02666,63306
ZCTA5 02667,57667
ZCTA5 02668,94250
ZCTA5 02669,89737
ZCTA5 02670,63675
ZCTA5 02671,60000
ZCTA5 02672,-
ZCTA5 02673,70736
ZCTA5 02675,68638
ZCTA5 02702,94773
ZCTA5 02703,70136
ZCTA5 02713,-
ZCTA5 02715,98112
ZCTA5 02717,81123
ZCTA5 02718,93034
ZCTA5 02719,62090
ZCTA5 02720,47992
ZCTA5 02721,33383
ZCTA5 02723,37617
ZCTA5 02724,37932
ZCTA5 02725,70183
ZCTA5 02726,75154
ZCTA5 02738,76576
ZCTA5 02739,85870
ZCTA5 02740,37784
ZCTA5 02743,69402
ZCTA5 02744,33125
ZCTA5 02745,56277
ZCTA5 02746,32554
ZCTA5 02747,75891
ZCTA5 02748,70828
ZCTA5 02760,85864
ZCTA5 02762,93889
ZCTA5 02763,106118
ZCTA5 02764,82130
ZCTA5 02766,102869
ZCTA5 02767,93125
ZCTA5 02769,96098
ZCTA5 02770,102227
ZCTA5 02771,86014
ZCTA5 02777,81469
ZCTA5 02779,89597
ZCTA5 02780,53201
ZCTA5 02790,80569
ZCTA5 02791,74009
ZCTA5 02802,51582
ZCTA5 02804,92961
ZCTA5 02806,117408
ZCTA5 02807,76174
ZCTA5 02808,76848
ZCTA5 02809,65890
ZCTA5 02812,123047
ZCTA5 02813,72648
ZCTA5 02814,93468
ZCTA5 02815,214205
ZCTA5 02816,67115
ZCTA5 02817,102616
ZCTA5 02818,97800
ZCTA5 02822,80893
ZCTA5 02825,79870
ZCTA5 02826,70760
ZCTA5 02827,87500
ZCTA5 02828,79103
ZCTA5 02830,67589
ZCTA5 02831,91346
ZCTA5 02832,85324
ZCTA5 02833,84770
ZCTA5 02835,105201
ZCTA5 02836,-
ZCTA5 02837,69620
ZCTA5 02838,60278
ZCTA5 02839,49958
ZCTA5 02840,65317
ZCTA5 02841,-
ZCTA5 02842,65851
ZCTA5 02852,83320
ZCTA5 02857,82621
ZCTA5 02858,-
ZCTA5 02859,76146
ZCTA5 02860,40455
ZCTA5 02861,55683
ZCTA5 02863,30794
ZCTA5 02864,81810
ZCTA5 02865,77817
ZCTA5 02871,91892
ZCTA5 02872,-
ZCTA5 02873,73991
ZCTA5 02874,133655
ZCTA5 02875,100673
ZCTA5 02876,21667
ZCTA5 02878,75716
ZCTA5 02879,79537
ZCTA5 02881,80208
ZCTA5 02882,65385
ZCTA5 02885,55689
ZCTA5 02886,70196
ZCTA5 02888,67579
ZCTA5 02889,70955
ZCTA5 02891,62743
ZCTA5 02892,94176
ZCTA5 02893,51740
ZCTA5 02894,81417
ZCTA5 02895,38340
ZCTA5 02896,81987
ZCTA5 02898,82996
ZCTA5 02903,30711
ZCTA5 02904,41054
ZCTA5 02905,41050
ZCTA5 02906,77411
ZCTA5 02907,35512
ZCTA5 02908,45042
ZCTA5 02909,33661
ZCTA5 02910,62941
ZCTA5 02911,57019
ZCTA5 02912,-
ZCTA5 02914,47985
ZCTA5 02915,59301
ZCTA5 02916,70184
ZCTA5 02917,83010
ZCTA5 02919,60574
ZCTA5 02920,53159
ZCTA5 02921,103838
ZCTA5 03031,125445
ZCTA5 03032,114041
ZCTA5 03033,127222
ZCTA5 03034,95430
ZCTA5 03036,122083
ZCTA5 03037,92598
ZCTA5 03038,68322
ZCTA5 03042,74268
ZCTA5 03043,93281
ZCTA5 03044,91486
ZCTA5 03045,83556
ZCTA5 03046,102375
ZCTA5 03047,71429
ZCTA5 03048,70529
ZCTA5 03049,126379
ZCTA5 03051,93181
ZCTA5 03052,93351
ZCTA5 03053,97604
ZCTA5 03054,97400
ZCTA5 03055,73557
ZCTA5 03057,104327
ZCTA5 03060,49469
ZCTA5 03062,88967
ZCTA5 03063,79116
ZCTA5 03064,65988
ZCTA5 03070,104754
ZCTA5 03071,84477
ZCTA5 03076,102577
ZCTA5 03077,67303
ZCTA5 03079,81202
ZCTA5 03082,85139
ZCTA5 03084,79821
ZCTA5 03086,74198
ZCTA5 03087,117468
ZCTA5 03101,29943
ZCTA5 03102,52677
ZCTA5 03103,53778
ZCTA5 03104,62251
ZCTA5 03106,85952
ZCTA5 03109,82075
ZCTA5 03110,127945
ZCTA5 03215,98125
ZCTA5 03216,63984
ZCTA5 03217,42300
ZCTA5 03218,108958
ZCTA5 03220,64926
ZCTA5 03221,62381
ZCTA5 03222,55424
ZCTA5 03223,63906
ZCTA5 03224,81818
ZCTA5 03225,70000
ZCTA5 03226,66250
ZCTA5 03227,73750
ZCTA5 03229,84456
ZCTA5 03230,62466
ZCTA5 03231,84097
ZCTA5 03233,107143
ZCTA5 03234,67008
ZCTA5 03235,48429
ZCTA5 03237,74460
ZCTA5 03238,30156
ZCTA5 03240,54000
ZCTA5 03241,65375
ZCTA5 03242,69609
ZCTA5 03243,73971
ZCTA5 03244,69438
ZCTA5 03245,68409
ZCTA5 03246,52702
ZCTA5 03249,73660
ZCTA5 03251,50238
ZCTA5 03253,68240
ZCTA5 03254,75507
ZCTA5 03255,89279
ZCTA5 03256,75030
ZCTA5 03257,73068
ZCTA5 03258,80147
ZCTA5 03259,52250
ZCTA5 03260,99375
ZCTA5 03261,86632
ZCTA5 03262,54224
ZCTA5 03263,49256
ZCTA5 03264,41688
ZCTA5 03266,56767
ZCTA5 03268,73929
ZCTA5 03269,77000
ZCTA5 03273,89423
ZCTA5 03275,71576
ZCTA5 03276,59983
ZCTA5 03278,76406
ZCTA5 03279,50833
ZCTA5 03280,73333
ZCTA5 03281,90024
ZCTA5 03282,63295
ZCTA5 03284,76364
ZCTA5 03285,63702
ZCTA5 03287,66250
ZCTA5 03290,104063
ZCTA5 03291,-
ZCTA5 03293,36894
ZCTA5 03301,60420
ZCTA5 03303,65879
ZCTA5 03304,109947
ZCTA5 03307,67072
ZCTA5 03431,55902
ZCTA5 03440,62614
ZCTA5 03441,36154
ZCTA5 03442,59881
ZCTA5 03443,81781
ZCTA5 03444,71250
ZCTA5 03445,60833
ZCTA5 03446,59611
ZCTA5 03447,51767
ZCTA5 03448,62813
ZCTA5 03449,73409
ZCTA5 03450,67266
ZCTA5 03451,57670
ZCTA5 03452,59698
ZCTA5 03455,56689
ZCTA5 03456,60833
ZCTA5 03457,67159
ZCTA5 03458,77688
ZCTA5 03461,68250
ZCTA5 03462,64167
ZCTA5 03464,85096
ZCTA5 03465,60200
ZCTA5 03466,75296
ZCTA5 03467,90438
ZCTA5 03470,54821
ZCTA5 03561,39504
ZCTA5 03570,37969
ZCTA5 03574,54500
ZCTA5 03575,103214
ZCTA5 03576,49028
ZCTA5 03579,44167
ZCTA5 03580,72361
ZCTA5 03581,58063
ZCTA5 03582,39830
ZCTA5 03583,56071
ZCTA5 03584,49390
ZCTA5 03585,53654
ZCTA5 03586,73854
ZCTA5 03588,50375
ZCTA5 03590,32788
ZCTA5 03592,41522
ZCTA5 03593,70938
ZCTA5 03595,57212
ZCTA5 03597,27868
ZCTA5 03598,45843
ZCTA5 03601,44861
ZCTA5 03602,64491
ZCTA5 03603,50699
ZCTA5 03604,86406
ZCTA5 03605,63958
ZCTA5 03607,61429
ZCTA5 03608,69375
ZCTA5 03609,73654
ZCTA5 03740,67188
ZCTA5 03741,64023
ZCTA5 03743,47009
ZCTA5 03745,75000
ZCTA5 03746,100625
ZCTA5 03748,82950
ZCTA5 03750,168100
ZCTA5 03751,32361
ZCTA5 03752,60417
ZCTA5 03753,104735
ZCTA5 03754,-
ZCTA5 03755,101825
ZCTA5 03765,62356
ZCTA5 03766,67597
ZCTA5 03768,108558
ZCTA5 03770,88438
ZCTA5 03771,62500
ZCTA5 03773,59745
ZCTA5 03774,54744
ZCTA5 03777,81250
ZCTA5 03779,69479
ZCTA5 03780,-
ZCTA5 03781,82802
ZCTA5 03782,69630
ZCTA5 03784,52747
ZCTA5 03785,43625
ZCTA5 03801,73561
ZCTA5 03809,74400
ZCTA5 03810,84241
ZCTA5 03811,106938
ZCTA5 03812,34561
ZCTA5 03813,60328
ZCTA5 03814,34750
ZCTA5 03816,56029
ZCTA5 03817,-
ZCTA5 03818,45481
ZCTA5 03819,88485
ZCTA5 03820,65855
ZCTA5 03823,108542
ZCTA5 03824,74267
ZCTA5 03825,84519
ZCTA5 03826,79722
ZCTA5 03827,99561
ZCTA5 03830,57157
ZCTA5 03832,71447
ZCTA5 03833,84883
ZCTA5 03835,60562
ZCTA5 03836,59330
ZCTA5 03837,66297
ZCTA5 03838,55996
ZCTA5 03839,58438
ZCTA5 03840,106763
ZCTA5 03841,91045
ZCTA5 03842,78454
ZCTA5 03844,129141
ZCTA5 03845,60800
ZCTA5 03846,62875
ZCTA5 03847,88285
ZCTA5 03848,93154
ZCTA5 03849,55714
ZCTA5 03850,74297
ZCTA5 03851,66950
ZCTA5 03852,67734
ZCTA5 03853,53438
ZCTA5 03854,113281
ZCTA5 03855,77596
ZCTA5 03856,122750
ZCTA5 03857,69107
ZCTA5 03858,105288
ZCTA5 03860,59442
ZCTA5 03861,108462
ZCTA5 03862,103520
ZCTA5 03864,53295
ZCTA5 03865,84125
ZCTA5 03867,53022
ZCTA5 03868,61094
ZCTA5 03869,74697
ZCTA5 03870,105645
ZCTA5 03871,-
ZCTA5 03872,62545
ZCTA5 03873,102358
ZCTA5 03874,62005
ZCTA5 03875,80234
ZCTA5 03878,62723
ZCTA5 03882,50000
ZCTA5 03883,30450
ZCTA5 03884,102688
ZCTA5 03885,106250
ZCTA5 03886,54560
ZCTA5 03887,73011
ZCTA5 03890,58708
ZCTA5 03894,50907
ZCTA5 03901,72731
ZCTA5 03902,76176
ZCTA5 03903,82587
ZCTA5 03904,72228
ZCTA5 03905,79911
ZCTA5 03906,75000
ZCTA5 03907,67833
ZCTA5 03908,88438
ZCTA5 03909,87329
ZCTA5 03910,57281
ZCTA5 03911,-
ZCTA5 04001,62659
ZCTA5 04002,65347
ZCTA5 04003,84250
ZCTA5 04005,51118
ZCTA5 04006,-
ZCTA5 04008,70355
ZCTA5 04009,48524
ZCTA5 04010,52986
ZCTA5 04011,58125
ZCTA5 04015,51842
ZCTA5 04017,61250
ZCTA5 04019,-
ZCTA5 04020,38875
ZCTA5 04021,106375
ZCTA5 04022,60179
ZCTA5 04024,67574
ZCTA5 04027,65750
ZCTA5 04029,55583
ZCTA5 04030,66469
ZCTA5 04032,79500
ZCTA5 04037,42500
ZCTA5 04038,76267
ZCTA5 04039,70529
ZCTA5 04040,44613
ZCTA5 04041,41857
ZCTA5 04042,55433
ZCTA5 04043,73105
ZCTA5 04046,68587
ZCTA5 04047,51023
ZCTA5 04048,51790
ZCTA5 04049,63773
ZCTA5 04050,64167
ZCTA5 04051,55781
ZCTA5 04055,62083
ZCTA5 04056,52813
ZCTA5 04057,-
ZCTA5 04061,72930
ZCTA5 04062,72893
ZCTA5 04063,41786
ZCTA5 04064,50843
ZCTA5 04066,76912
ZCTA5 04068,43824
ZCTA5 04069,83700
ZCTA5 04071,72717
ZCTA5 04072,63750
ZCTA5 04073,43974
ZCTA5 04074,90040
ZCTA5 04076,65417
ZCTA5 04079,72247
ZCTA5 04083,51599
ZCTA5 04084,73523
ZCTA5 04085,65000
ZCTA5 04086,73937
ZCTA5 04087,53117
ZCTA5 04088,49063
ZCTA5 04090,65230
ZCTA5 04091,50833
ZCTA5 04092,51062
ZCTA5 04093,65762
ZCTA5 04095,42083
ZCTA5 04096,77695
ZCTA5 04097,94058
ZCTA5 04101,38876
ZCTA5 04102,49426
ZCTA5 04103,63804
ZCTA5 04105,107194
ZCTA5 04106,59979
ZCTA5 04107,106343
ZCTA5 04108,67000
ZCTA5 04109,62589
ZCTA5 04110,162227
ZCTA5 04210,48363
ZCTA5 04216,42500
