,State,PostalCode,Longitude,Latitude
21776,NY,10314,-74.13,40.61
21780,PA,18087,-75.56,40.57
21783,CA,92629,-117.68,33.48
21785,NM,87108,-106.58,35.06
21786,UT,84005,-111.97,40.36
21789,CA,92011,-117.31,33.12
21792,CA,95405,-122.69,38.45
21794,CA,95407,-122.74,38.41
21796,MO,65807,-93.28,37.2
21797,VA,23185,-76.69,37.25
21798,FL,33304,-80.12,26.14
21800,IL,60540,-88.15,41.77
21802,MI,49008,-85.61,42.26
21806,TX,75209,-96.82,32.85
21807,DC,20007,-77.07,38.92
21808,FL,33418,-80.13,26.84
21810,FL,33020,-80.14,26.03
21811,WA,98125,-122.3,47.72
21812,NY,11901,-72.7,40.92
21813,NY,13219,-76.24,43.05
21814,OR,97008,-122.83,45.48
21815,HI,96819,-157.92,21.33
21816,CA,94114,-122.43,37.77
21818,TX,76248,-97.25,32.93
21820,CA,95073,-121.96,36.99
21821,CA,91367,-118.6,34.18
21822,WI,53147,-88.41,42.6
21823,OH,43215,-83.0,39.97
21825,AZ,85021,-112.11,33.55
21827,MA,02771,-71.33,41.79
21831,AZ,85016,-112.03,33.51
21834,NY,11373,-73.87,40.74
21835,CT,06460,-73.04,41.24
21837,NV,89111,-115.15,36.08
21842,FL,33172,-80.38,25.79
21843,MD,21030,-76.64,39.46
21845,NY,11714,-73.48,40.73
21846,OH,45232,-84.51,39.16
21847,OR,97707,-121.44,43.87
21848,WA,98503,-122.82,47.0
21853,TX,75013,-96.68,33.1
21854,TX,75040,-96.62,32.96
21856,CA,92688,-117.6,33.64
21858,NC,28173,-80.76,34.95
21859,DC,20012,-77.02,38.97
21861,UT,84701,-112.08,38.76
21862,CA,95128,-121.95,37.3
21863,NE,68521,-96.68,40.86
21864,SC,29206,-80.93,34.01
21865,MA,02109,-71.06,42.36
21868,IN,46307,-87.36,41.43
21869,NJ,07719,-74.27,40.02
21870,NV,89436,-119.74,39.58
21871,WA,99224,-117.54,47.63
21872,SC,29466,-79.82,32.84
21874,IL,60010,-88.14,42.15
21875,CA,95687,-121.93,38.38
21876,NV,89119,-115.14,36.08
21877,FL,32244,-81.69,30.24
21878,MI,49068,-84.99,42.27
21880,CA,92614,-117.85,33.68
21881,CA,93534,-118.17,34.7
21882,OR,97504,-122.87,42.33
21884,MA,02176,-71.06,42.46
21885,CA,94520,-122.06,37.98
21886,WA,98499,-122.48,47.16
21888,WI,53147,-88.43,42.59
21889,OR,97204,-122.68,45.52
21891,WA,98221,-122.61,48.51
21894,IA,52761,-91.02,41.46
21898,CA,94102,-122.41,37.79
21901,TX,76201,-97.14,33.23
21902,CA,92103,-117.17,32.75
21903,CT,06103,-72.67,41.76
21906,PA,19426,-75.48,40.16
21908,SC,29466,-79.79,32.86
21910,NJ,08401,-74.43,39.38
21913,TX,75070,-96.66,33.17
21914,KS,66062,-94.76,38.86
21915,CA,95407,-122.71,38.41
21920,CA,95630,-121.17,38.65
21921,CA,94523,-122.07,37.98
21924,NY,11435,-73.81,40.7
21926,TX,75098,-96.54,33.01
21929,VA,23455,-76.17,36.87
21930,WA,98042,-122.1,47.36
21931,VA,23113,-77.72,37.5
21932,VA,23322,-76.22,36.69
21934,CA,92508,-117.32,33.89
21935,CA,95131,-121.93,37.39
21936,WA,98057,-122.2,47.5
21938,AZ,85004,-112.07,33.47
21939,WA,98168,-122.34,47.49
21940,NY,10016,-73.98,40.75
21941,NY,10032,-73.94,40.84
21942,TN,37040,-87.31,36.56
21943,CA,91344,-118.5,34.29
21944,CA,95380,-120.88,37.52
21945,NM,87104,-106.67,35.1
21946,NM,87501,-105.95,35.69
21950,WV,25309,-81.73,38.36
21953,NV,89557,-119.82,39.55
21954,AR,72207,-92.34,34.77
21955,NE,69101,-100.77,41.12
21956,AR,72211,-92.41,34.75
21958,CA,94904,-122.52,37.95
21960,TX,77450,-95.75,29.73
21961,AR,72762,-94.18,36.18
21962,TX,77386,-95.41,30.12
21963,NY,11235,-73.96,40.58
21964,PA,19406,-75.38,40.09
21965,CO,80132,-104.87,39.1
21968,CA,95492,-122.79,38.53
21970,MD,21009,-76.32,39.46
21971,NC,28078,-80.86,35.44
21973,MI,48312,-83.03,42.56
21974,PA,17745,-77.46,41.14
21975,TN,37217,-86.65,36.09
21978,CA,92064,-117.06,32.93
21980,CA,90650,-118.08,33.91
21981,CA,94945,-122.55,38.09
21982,TX,77096,-95.46,29.69
21983,AZ,85614,-111.0,31.85
21986,IL,60645,-87.69,42.02
21987,TX,79901,-106.49,31.76
21988,CA,94954,-122.6,38.23
21989,WV,25801,-81.21,37.8
21991,CA,94513,-118.49,34.05
21993,OH,44601,-81.15,40.9
21994,TX,75034,-96.86,33.15
21995,SC,29601,-82.4,34.85
21998,FL,32801,-81.37,28.54
21999,FL,32763,-81.29,28.91
22000,FL,32837,-81.41,28.37
22001,OH,43220,-83.1,40.06
