,Longitude,Latitude
887,-78.58,35.86
888,-122.47,48.73
889,-118.52,34.37
891,-92.36,38.95
892,-97.73,30.24
893,-81.77,26.44
894,-119.22,46.21
896,-77.19,39.1
898,-118.79,34.18
899,-92.17,46.81
900,-76.76,40.2
901,-118.87,34.2
902,-117.92,33.68
903,-74.45,39.35
904,-119.73,36.84
906,-86.11,42.8
907,-111.79,33.28
908,-80.71,35.12
909,-77.28,38.78
911,-122.85,42.31
912,-121.16,38.67
914,-121.84,39.73
915,-77.4,34.79
917,-118.16,33.97
918,-81.84,41.41
919,-73.98,40.77
922,-117.12,32.81
923,-96.89,33.07
924,-76.59,38.54
930,-104.72,38.88
931,-117.8,34.11
932,-95.78,29.76
941,-84.46,39.35
943,-73.98,40.79
946,-85.92,39.99
950,-84.4,39.11
951,-83.23,42.51
953,-105.11,39.8
954,-87.62,41.89
957,-93.24,44.96
958,-85.93,41.64
959,-80.26,25.73
960,-81.41,29.92
962,-81.62,30.2
963,-83.12,40.03
967,-123.01,46.8
968,-118.25,34.05
972,-105.34,39.65
973,-87.91,42.95
977,-118.54,34.17
979,-89.92,38.52
981,-80.45,41.23
985,-94.17,36.3
986,-96.1,41.23
987,-122.3,47.66
994,-76.99,39.83
995,-121.0,38.7
997,-93.26,30.21
1000,-118.34,34.1
1001,-96.77,43.51
1003,-118.18,33.84
1004,-118.29,33.76
1008,-149.68,61.26
1013,-104.77,39.51
1015,-76.24,36.71
1016,-86.2,39.86
1020,-81.62,30.12
1021,-86.16,39.77
1022,-95.46,29.67
1023,-97.11,31.55
1025,-74.3,40.25
1027,-73.68,40.98
1028,-71.07,42.29
1029,-122.44,48.77
1033,-84.59,33.44
1035,-116.8,33.92
1036,-123.92,45.99
1037,-117.67,34.09
1038,-104.94,39.91
1039,-73.97,40.8
1041,-96.82,39.02
1042,-116.27,43.62
1043,-111.76,34.87
1044,-82.94,39.96
1045,-123.0,45.01
1047,-117.14,32.91
1051,-82.11,30.26
1053,-117.17,46.74
1058,-117.03,32.66
1061,-75.17,39.92
1063,-111.8,34.86
1066,-116.21,43.62
1070,-88.38,41.79
1071,-121.26,44.06
1072,-90.52,41.54
1073,-108.16,36.75
1077,-122.56,45.52
1078,-122.15,47.6
1079,-76.41,36.83
1082,-90.45,38.6
1083,-115.57,32.82
1084,-74.16,40.06
1085,-117.91,33.63
1086,-77.1,35.1
1087,-122.61,45.53
1089,-96.56,39.18
1090,-77.2,39.29
1093,-117.69,34.09
1095,-120.13,37.02
1096,-86.53,30.47
1097,-88.17,42.36
1099,-122.98,46.73
1100,-105.04,39.96
1103,-77.04,38.9
1104,-122.02,38.25
1109,-118.74,34.28
1111,-117.72,33.53
1112,-71.08,42.35
1113,-122.61,45.37
1118,-75.19,39.95
1121,-117.86,33.64
1122,-117.96,33.88
1123,-122.13,37.45
1124,-122.34,47.62
1125,-87.92,42.96
1128,-73.95,40.78
1129,-86.74,33.46
1131,-157.86,21.3
1132,-94.41,38.93
1133,-77.36,38.86
1134,-119.85,39.61
1136,-121.42,38.6
1137,-70.89,42.52
1138,-112.23,33.64
1139,-79.05,35.9
1140,-73.97,40.76
1141,-77.02,38.89
1144,-122.65,45.47
1145,-122.46,45.42
1148,-116.28,43.61
1150,-121.87,37.37
1151,-122.62,45.55
1153,-96.12,41.29
1155,-90.96,30.46
1156,-122.25,37.79
1157,-111.94,40.59
1159,-117.1,32.82
1162,-115.17,36.12
1163,-85.42,40.19
1164,-118.96,34.17
1166,-73.98,40.69
1169,-84.02,33.63
1170,-119.78,39.2
1172,-84.1,37.11
1173,-80.87,40.07
1176,-75.29,39.96
1177,-69.97,41.78
1180,-84.56,34.02
1181,-118.42,33.97
1182,-75.11,38.34
1183,-111.87,33.62
1184,-122.58,48.84
1187,-84.42,42.72
1191,-115.12,36.24
1193,-80.15,26.08
1196,-105.08,39.89
1199,-77.39,38.86
1202,-122.63,47.63
1203,-104.76,39.48
1206,-90.34,38.78
1210,-105.22,38.45
1212,-97.42,32.66
1215,-149.84,61.14
1216,-84.33,33.89
1217,-115.24,36.06
1222,-90.01,38.68
1224,-82.28,34.94
1225,-112.07,33.64
1228,-80.15,25.95
1229,-80.38,36.02
1231,-78.95,38.06
1232,-90.15,32.43
1233,-71.1,42.34
1234,-92.38,38.95
1236,-95.27,38.59
1239,-80.27,27.24
1240,-77.94,35.38
1242,-82.76,27.92
1243,-121.02,37.65
1244,-122.39,37.6
1245,-84.68,34.04
1246,-117.89,33.92
1247,-76.75,39.28
1248,-86.8,36.11
1250,-116.09,33.57
1251,-69.64,44.57
1252,-105.22,39.75
1253,-118.06,33.85
1255,-91.61,41.69
1256,-81.44,41.24
1257,-123.09,44.04
1258,-99.34,38.87
1261,-73.47,40.67
1262,-73.99,40.73
1266,-73.97,40.89
1267,-122.37,37.6
1268,-118.04,34.08
1270,-97.11,32.67
1271,-121.3,44.1
1274,-85.61,38.25
1276,-77.04,38.92
1283,-118.19,33.81
1284,-122.48,37.73
1285,-73.98,41.01
1289,-82.54,35.6
1291,-86.34,39.76
1293,-157.8,21.4
1294,-74.11,40.67
1295,-83.47,42.49
1299,-76.35,39.53
1301,-121.89,37.25
1302,-80.1,26.17
1304,-74.16,39.95
1305,-82.38,29.62
1306,-109.54,40.46
1308,-95.68,29.59
1309,-83.19,42.68
1311,-83.09,42.62
1314,-88.85,35.67
1315,-80.09,26.3
1316,-121.64,39.13
1318,-121.86,37.67
1319,-86.61,30.42
1320,-87.41,39.41
1322,-97.04,33.04
1323,-94.64,39.21
1324,-78.88,33.72
1325,-88.12,30.68
1327,-122.06,37.9
1329,-120.96,37.65
1334,-118.44,34.04
1335,-98.47,29.61
1336,-83.53,42.65
1337,-116.2,43.6
1338,-122.64,45.53
1340,-117.24,33.08
1341,-115.18,36.29
1342,-90.09,30.38
1343,-105.01,39.75
1346,-117.57,33.84
1348,-118.19,33.77
1349,-79.92,40.43
1352,-84.48,33.97
1355,-117.75,33.65
1356,-117.21,32.75
1358,-75.15,40.04
1359,-83.16,42.13
1360,-73.33,40.76
1363,-77.06,38.94
1365,-80.34,25.63
1366,-75.35,40.04
1367,-83.44,42.53
1369,-71.05,42.35
1370,-122.3,47.66
1372,-118.38,34.08
1374,-85.85,42.89
1375,-122.2,47.62
1376,-75.57,40.24
1380,-73.99,40.75
1386,-75.64,41.47
1387,-71.42,41.83
1390,-105.26,40.02
1396,-117.86,34.01
1398,-121.19,37.8
1399,-105.05,39.94
1400,-89.75,30.28
1402,-93.21,44.79
1404,-82.52,27.96
1409,-87.76,42.01
1410,-74.0,40.73
1413,-75.0,39.91
1414,-87.47,36.67
1415,-118.35,33.96
1418,-85.63,38.28
1419,-75.7,41.49
1420,-87.82,42.22
1421,-122.16,47.51
1422,-73.71,42.6
1423,-111.72,33.29
1424,-74.22,40.81
1425,-94.8,39.77
1427,-83.64,41.38
1435,-82.91,40.05
1436,-77.07,38.93
1437,-73.86,40.97
1440,-121.99,37.97
1441,-73.96,40.82
1444,-121.86,37.22
1445,-89.79,43.62
1447,-111.93,33.42
1452,-104.99,39.75
1454,-117.37,34.07
1455,-97.12,32.61
1456,-117.25,32.77
1457,-78.9,35.9
1458,-84.56,34.02
1459,-118.43,34.15
1460,-73.98,40.75
1461,-121.73,38.0
1463,-80.09,26.32
1465,-95.14,29.54
1468,-74.35,40.56
1469,-86.39,32.46
1470,-76.86,39.09
1471,-76.62,39.3
1472,-118.37,34.16
1477,-73.13,40.87
1478,-77.05,39.09
1481,-112.41,33.44
1483,-90.1,29.88
1485,-93.95,44.17
1486,-87.77,42.01
1488,-97.08,47.89
1490,-120.56,46.62
1491,-97.79,30.17
1493,-74.03,40.74
1496,-97.24,32.84
1499,-73.91,42.78
1501,-117.88,33.62
1504,-118.08,33.92
1509,-121.5,38.64
1510,-115.08,36.13
1517,-87.86,42.41
1519,-87.17,30.36
1520,-111.82,40.43
1521,-122.05,37.93
1524,-82.76,28.02
1525,-121.89,37.34
1528,-93.02,45.04
1531,-74.96,40.01
1533,-97.85,30.18
1534,-121.78,37.97
1536,-87.76,42.0
1537,-96.68,33.09
1538,-74.07,40.92
1541,-157.84,21.29
1543,-115.27,36.28
1545,-93.53,47.21
1547,-88.0,41.84
1551,-122.23,47.2
1552,-81.55,30.33
1553,-115.17,36.11
1554,-74.2,40.94
1555,-95.37,29.76
1556,-122.49,37.75
1557,-86.24,41.7
1560,-118.39,33.86
1561,-105.2,39.74
1564,-122.83,45.44
1566,-93.41,44.78
1568,-95.13,29.55
1569,-76.75,37.34
1572,-122.59,45.59
1574,-118.47,34.0
1575,-76.6,39.14
1577,-105.23,40.0
1578,-95.53,30.0
1579,-122.24,47.44
1581,-106.5,31.77
1582,-117.7,33.49
1585,-82.69,27.89
1586,-80.22,40.19
1587,-77.4,38.97
1591,-117.17,33.13
1593,-97.0,32.67
1594,-121.51,38.64
1595,-97.15,32.72
1600,-80.1,26.23
1602,-117.67,34.11
1603,-122.58,47.3
1604,-94.72,32.53
1605,-85.69,43.02
1608,-105.22,39.75
1610,-122.09,37.37
1611,-90.33,38.64
1614,-84.33,33.83
1617,-116.96,32.75
1618,-84.6,39.19
1620,-97.32,32.9
1621,-121.9,37.69
1623,-122.93,47.04
1627,-84.15,35.9
1630,-104.82,38.8
1633,-119.07,34.22
1635,-85.66,38.25
1636,-104.76,39.61
1637,-79.97,37.23
1638,-76.05,36.84
1640,-77.61,38.8
1642,-122.68,45.52
1644,-116.3,33.74
1645,-117.26,33.13
1648,-104.72,38.93
1649,-95.56,29.77
1651,-117.71,33.57
1652,-122.47,37.67
1655,-91.43,44.78
1659,-95.49,30.04
1661,-69.96,43.94
1662,-112.0,33.44
1663,-117.67,33.61
1665,-98.24,26.19
1666,-117.62,34.13
1667,-78.78,42.79
1670,-86.16,39.77
1672,-122.3,47.44
1675,-117.11,32.76
1679,-74.93,39.89
1680,-116.79,47.71
1682,-104.88,39.63
1683,-84.44,33.48
1685,-118.29,33.81
1688,-80.32,26.15
1689,-121.29,38.59
1691,-77.4,34.79
1692,-95.38,29.55
1693,-77.33,38.6
1694,-97.76,30.35
1695,-90.06,32.34
1696,-92.16,46.8
1699,-82.84,35.54
1701,-104.97,39.68
1702,-118.03,33.83
1707,-117.89,33.69
1709,-89.27,43.17
1711,-116.25,43.59
1712,-157.92,21.33
1713,-71.48,41.72
1714,-81.64,28.23
1717,-106.27,31.76
1719,-123.14,44.05
1720,-110.94,32.22
1724,-97.44,35.21
1725,-81.51,41.15
1726,-77.21,39.02
1729,-76.49,37.19
1730,-117.93,33.92
1734,-122.52,47.26
1735,-81.41,41.16
1737,-87.66,41.87
1738,-95.65,29.88
1739,-111.9,40.77
1742,-82.83,42.67
1743,-122.21,47.9
1744,-122.22,47.48
1747,-149.85,61.11
1748,-73.98,40.76
1749,-103.14,32.73
1756,-85.54,42.91
1760,-72.98,41.34
1761,-75.71,39.64
1762,-82.26,34.71
1763,-122.34,47.61
1764,-121.72,37.7
1766,-118.55,34.45
1768,-118.14,34.14
1769,-75.38,40.04
1771,-87.84,42.15
1772,-110.87,32.22
1774,-80.07,40.39
1775,-82.49,27.23
1776,-73.95,41.1
1781,-97.88,31.12
1784,-88.99,40.51
1786,-88.18,43.4
1787,-105.93,40.06
1789,-118.68,34.27
1790,-81.49,41.5
1792,-87.6,41.79
1794,-71.14,42.52
1795,-77.64,37.42
1798,-81.47,40.96
1799,-122.07,37.98
1801,-80.9,35.6
1802,-91.34,40.63
1804,-121.32,38.0
1805,-73.63,40.81
1809,-82.21,27.04
1812,-121.32,38.01
1813,-121.47,38.57
1815,-122.57,45.43
1816,-93.21,44.88
1818,-93.26,43.15
1821,-73.2,41.25
1822,-94.39,35.34
1823,-118.35,33.87
1824,-106.59,35.13
1826,-92.23,37.81
1827,-71.11,42.34
1829,-93.72,36.97
1831,-94.69,38.9
1832,-95.5,29.72
1834,-71.22,42.77
1836,-122.29,47.18
1837,-84.43,39.25
1838,-83.35,42.22
1839,-74.15,41.32
1840,-117.1,32.79
1841,-96.79,32.96
1842,-118.44,34.02
1844,-77.36,38.96
1846,-111.89,40.77
1847,-93.77,45.29
1849,-83.22,42.32
1851,-117.33,33.18
1852,-121.39,38.55
1853,-95.12,29.68
1854,-93.66,32.51
1855,-122.16,47.49
1856,-122.13,37.41
1857,-115.18,36.1
1858,-77.5,37.59
1861,-87.8,41.75
1862,-97.86,30.54
1863,-87.79,41.89
1864,-121.06,39.2
1865,-75.6,39.95
1868,-80.12,25.82
1869,-123.08,44.63
1870,-118.58,34.26
1872,-90.32,38.63
1873,-84.38,33.94
1875,-81.23,41.29
1877,-76.52,38.98
1879,-75.05,39.78
1881,-81.44,28.67
1882,-121.89,37.44
1883,-96.61,33.66
1884,-72.84,41.68
1885,-87.98,42.05
1886,-91.04,41.45
1891,-81.35,28.55
1892,-122.94,46.14
1894,-95.55,30.71
1895,-107.78,39.54
1896,-75.39,40.09
1897,-104.93,39.59
1898,-93.25,43.15
1899,-73.98,40.77
1901,-93.4,44.84
1903,-76.23,43.14
1905,-91.06,30.38
1906,-104.86,39.54
1908,-83.17,42.56
1909,-74.05,40.23
1911,-105.02,39.76
1912,-112.12,33.67
1914,-88.43,42.14
1917,-77.05,38.81
1918,-73.52,40.73
1919,-97.13,33.23
1921,-86.49,39.16
1924,-122.07,37.93
1928,-116.36,33.76
1930,-73.97,40.76
1931,-81.81,26.34
1932,-75.89,41.24
1935,-97.06,36.13
1937,-87.88,42.1
1941,-97.34,32.73
1942,-121.84,37.34
1944,-97.37,27.71
1945,-115.33,36.15
1947,-118.37,33.81
1951,-79.17,37.35
1952,-76.76,37.25
1953,-96.78,32.84
1954,-74.19,42.96
1955,-82.54,27.97
1956,-101.91,33.52
1957,-95.5,29.74
1959,-87.99,41.81
1960,-69.77,44.23
1961,-80.18,33.0
1962,-104.85,39.6
1963,-70.23,44.12
1964,-73.92,40.61
1966,-97.35,32.57
1967,-112.19,35.25
1968,-122.2,47.62
1969,-122.33,47.82
1970,-94.7,38.93
1972,-83.22,42.28
1974,-120.84,38.71
1977,-86.95,34.78
1978,-111.9,40.73
1980,-122.58,45.45
1981,-116.93,32.86
1982,-73.98,40.76
1984,-88.04,42.05
1986,-119.94,38.95
1987,-105.05,39.77
1990,-122.18,37.88
1991,-100.48,31.45
1996,-77.32,38.8
1998,-122.58,45.5
1999,-71.03,42.22
2000,-118.11,34.02
2001,-77.37,38.87
2003,-117.84,33.97
2005,-77.52,37.57
2007,-122.41,45.53
2008,-97.72,26.19
2009,-111.89,33.32
2011,-104.97,39.73
2016,-71.1,42.34
2018,-74.06,40.33
2027,-82.22,41.38
2029,-80.3,25.69
2030,-80.58,35.02
2031,-118.44,34.06
2032,-112.24,33.51
2034,-105.01,39.65
2035,-79.92,40.41
2036,-87.85,42.7
2038,-75.23,40.03
2042,-122.21,37.72
2047,-75.48,40.63
2048,-118.04,33.98
2049,-75.51,39.16
2050,-155.99,19.65
2054,-123.8,46.98
2055,-116.32,43.59
2060,-77.14,38.7
2061,-118.26,34.16
2063,-122.36,47.16
2064,-122.3,37.54
2070,-122.37,47.67
2072,-97.56,30.35
2073,-77.48,38.3
2075,-105.01,39.59
2076,-122.29,37.54
2078,-93.19,44.92
2079,-121.65,36.71
2081,-85.68,42.86
2083,-90.48,41.55
2084,-123.26,44.56
2085,-89.85,34.96
2086,-115.17,36.1
2088,-118.4,34.05
2089,-70.6,41.56
2093,-76.68,39.94
2095,-76.74,38.95
2096,-89.49,43.1
2097,-77.52,38.17
2104,-94.46,39.25
2106,-98.62,29.59
2109,-76.81,34.74
2110,-112.45,34.76
2112,-111.93,33.49
2113,-88.25,41.74
2114,-97.24,37.72
2117,-88.31,42.23
2118,-74.23,40.53
2123,-116.55,48.27
2126,-104.89,39.61
2127,-82.44,28.19
2128,-84.37,33.77
2129,-122.25,37.52
2132,-122.07,37.34
2135,-116.36,33.76
2136,-117.86,33.69
2137,-101.8,35.19
2138,-111.9,40.86
2141,-71.12,42.37
2144,-91.66,41.96
2145,-96.67,43.53
2146,-80.05,40.42
2147,-118.29,34.07
2149,-122.6,38.12
2150,-115.12,36.2
2153,-75.23,40.0
2155,-82.51,28.04
2156,-106.42,39.57
2158,-122.3,47.66
2159,-122.23,47.31
2161,-122.58,47.3
2162,-122.32,47.71
2164,-157.92,21.34
2165,-122.31,47.62
2166,-70.29,43.68
2173,-84.38,39.23
2174,-117.06,32.74
2175,-118.18,33.93
2182,-97.11,32.73
2183,-96.99,32.97
2184,-97.45,31.05
2185,-122.36,47.77
2187,-98.33,29.56
2188,-96.81,33.1
2190,-106.33,42.86
2191,-84.28,42.69
2194,-94.16,42.51
2196,-96.82,33.08
2198,-97.74,30.36
2199,-102.14,32.02
2201,-97.2,32.83
2203,-122.01,37.32
2204,-117.13,33.48
2206,-122.67,45.42
2207,-76.96,39.77
2208,-110.99,31.9
2209,-80.15,32.61
2210,-87.93,43.32
2211,-122.19,47.62
2212,-122.19,48.09
2216,-71.02,42.36
2217,-114.07,36.81
2218,-85.41,32.62
2221,-73.74,43.1
2225,-80.27,25.79
2226,-77.05,38.91
2227,-78.64,35.77
2228,-86.18,39.78
2230,-77.03,38.9
2232,-117.06,32.76
2234,-82.35,28.18
2235,-122.33,47.61
2236,-83.99,35.81
2238,-117.26,33.07
2239,-77.8,38.73
2241,-97.34,32.73
2243,-87.82,42.62
2244,-70.88,42.59
2246,-77.03,38.99
2247,-80.32,25.69
2248,-104.7,38.72
