City,Latitude,Longitude,Name,PostalCode,State
Durango,37.297568,-107.8717,Durango Brewing Co,81301,Hermosa
O Fallon,38.805808,-90.753247,O'fallon Brewery,63366,Dardenne Prairie
Wasilla,61.58523,-149.3367,Bearpaw River Brewing Company,99654,AK
Malvern,40.036647,-75.564523,Fancy Camper Llc,19355,PA
Mountain View,37.394557,-122.080448,Tied House,94041,CA
Somerville,42.3818893,-71.1060181,Aeronaut Brewing Company,2143,East Somerville
O Fallon,38.80068621,-90.69388673,Ethyl's Smokehouse & Saloon,63366,Dardenne Prairie
Lubbock,33.52071643,-101.9017878,Fox and Hound English Pub,79423,TX
Breckenridge,39.515038,-106.053199,Broken Compass Brewing Co,80424,CO
Seneca Falls,42.802164,-76.81108,Swedish Hill Vineyard & Winery,13148,Tyre
Billings,45.78448841,-108.501458,Angry Hank's Brewing,59101,MT
Sainte Genevieve,37.940643,-90.12701,Crown Valley Brewing and Distilling,63670,Clearwater
Nashville,36.158608,-86.809991,Blackston Brewing Co,37209,TN
Peoria,33.56183711,-112.2588434,Freak'n Brewing Company,85345,AZ
Philadelphia,39.965746,-75.139464,Max's Brew Bar,19123,PA
Brooklyn,40.72503,-73.95713,Dirck The Norseman,11222,NY
Tustin,33.74979862,-117.81087,Tustin Brewing Company,92780,CA
Austin,30.4053841,-97.8745499,Oasis Texas Brewing Company,78732,Marshall Ford
Miami,25.689009,-80.387493,World of Beer,33183,South Miami
Pawcatuck,41.370235,-71.83371,Cottrell Brewery,6379,CT
Lexington,38.01779,-84.455989,Bottom of The Barrel,40509,KY
Jacksonville,30.26557017,-81.55643016,Miller's Jacksonville Ale House,32246,FL
Oklahoma City,35.541519,-97.565472,Learn To Brew,73116,OK
Saint Paul,44.950897,-93.09358,Tin Whiskers Brewing Company,55101,MN
Milwaukee,43.01423,-88.000194,Phylo's,53214,WI
Sacramento,38.599594,-121.42685,Bjs Restaurant Brewhouse,95815,CA
Everett,47.97945389,-122.2018866,Fish Tale Brew Pub,98201,WA
Memphis,35.136913,-89.990516,Boscos Squared,38104,Mphs
Amherst,42.371708,-72.53308,Amherst Brewing Company,1002,South Amherst
Baltimore,39.282065,-76.627716,Jigg's Tavern,21230,MD
Fort Worth,32.737133,-97.326037,Rahr & Sons Brewery Co Lp,76104,TX
Pittsburgh,40.456835,-79.991454,Pennsylvania Brewing Co,15212,Pitt
Asheville,35.5892,-82.553734,Catawba Brewing Company,28801,NC
Port Huron,42.97558019,-82.42333852,Thumb Coast Brewing Company,48060,MI
Palm Harbor,28.060989,-82.707898,Lager Haus Brew & Grill,34685,FL
Scottsdale,33.622784,-111.89199,Tap That Brewing Supplies,85260,AZ
Ellington,41.920563,-72.45404,Cold Creek Brewery,6029,CT
Lancaster,34.77212,-80.83281,Benford Brewing Co.,29720,SC
Catharpin,45.45134946,9.178001315,King's Pub,20143,VA
Salt Lake City,40.72511282,-111.8599938,Wasatch Brew Pub,84106,Salt Lake Cty
Chadds Ford,39.865759,-75.547713,Wine & Beer Emporium,19317,PA
Santa Rosa,38.47425,-122.735547,Siduri Wines,95403,CA
Londonderry,42.875579,-71.338613,From The Barrel Brewing Company Llc,3053,NH
Nashville,36.17967,-86.74798,Nashville Brew Bus,37206,TN
Bar Harbor,44.399582,-68.334206,Atlantic Brewing Company,4609,ME
Pittsburgh,40.37776,-80.040634,Hitch Hiker Brewing,15228,Pgh
Yoncalla,-20.88212,55.44505,Maison des Brasseries de Bourbon,97499,OR
