PostalCode,Median_Income,Population,Median_age,Keydemo_per
35550,39776,5504,45.6,0.17623546511627908
35552,43715,997,31.2,0.28284854563691075
35553,30139,4111,49.1,0.14327414254439308
35554,37270,1034,46.2,0.16827852998065765
35555,40012,9537,43.9,0.1714375589808116
35559,-,12,-,0.0
35563,37778,4646,44.5,0.17197589324149806
35564,28370,2134,46.2,0.18978444236176195
35565,32121,12645,45.2,0.13950177935943062
35570,37695,11159,44.3,0.1818263285240613
35571,46979,776,51.1,0.1481958762886598
35572,31193,1267,45.4,0.1712707182320442
35574,39261,1694,43.1,0.1717827626918536
35575,39716,1082,45.2,0.1756007393715342
35576,46127,2869,50.6,0.14743813175322412
35577,-,48,40.8,0.0
35578,36485,6111,48.6,0.11814760268368515
35579,47417,3614,41.2,0.19341449916989487
35580,41997,3564,36.5,0.2090347923681257
35581,44871,6073,40.2,0.16252264119874857
35582,38594,4561,37.2,0.16509537382153036
35584,25313,365,44.4,0.13150684931506848
35585,45750,1727,45.6,0.10422698320787492
35586,32500,3947,46.1,0.14492019255130478
35587,36750,582,55.7,0.1323024054982818
35592,36116,4839,44.2,0.138871667699938
35593,45455,1537,44.3,0.14183474300585555
35594,40881,7285,39.7,0.18064516129032257
35601,43267,32381,37.4,0.19659676971063278
35603,56795,31653,42.8,0.18086753230341515
35610,43211,1823,47.1,0.15304443225452552
35611,40257,27058,39.7,0.20175179244585706
35613,79484,26379,41.6,0.18598127298229652
35614,45276,7050,39.3,0.20411347517730496
35615,-,60,-,0.0
35616,41034,3772,47.7,0.1460763520678685
35618,29850,1796,45.7,0.13752783964365256
35619,53051,4860,41.8,0.1508230452674897
35620,58301,9694,40.8,0.19218073034866928
35621,51618,2647,48,0.17227049489988666
35622,52217,7409,37.1,0.19854231340261844
35630,36405,33324,34.7,0.28736046092906015
35633,59359,20625,42.8,0.1503030303030303
35634,74668,9997,48.2,0.13914174252275682
35640,58572,25654,41.5,0.1691743977547361
35643,44754,3802,50.5,0.10231457127827459
35645,62007,13654,44.1,0.1475758019627948
35646,41894,4522,48.2,0.15612560813799203
35647,65938,1177,31.9,0.2107051826677995
35648,56172,3448,39.2,0.19663573085846867
35649,130000,84,57.1,0.0
35650,43521,13668,42.4,0.188030436055019
35651,35438,1364,37.9,0.18328445747800587
35652,54135,8704,43.4,0.19657628676470587
35653,43547,10615,36.5,0.2418276024493641
35654,42622,7771,36.3,0.2227512546647793
35660,34194,8986,44.9,0.13988426441130647
35661,60311,17027,41.4,0.20079873142655782
35670,55592,6594,40.6,0.17561419472247497
35671,30539,1958,41.9,0.2517875383043922
35672,51505,5714,34.9,0.21141057052852644
35673,53822,7460,41.6,0.16715817694369972
35674,49358,19144,38.6,0.1878395319682407
35677,38125,1593,37.9,0.18330194601381042
35739,51575,5076,38.2,0.17710795902285265
35740,30531,3056,43.6,0.13579842931937172
35741,74569,2801,47.6,0.13495180292752587
35744,36760,1956,43.2,0.17484662576687116
35745,30625,164,55.4,0.17682926829268292
35746,33980,461,54.2,0.049891540130151846
35747,56563,5302,47.4,0.16748396831384382
35748,75370,7300,44.2,0.16931506849315067
35749,91496,22804,38,0.15839326433958956
35750,56250,13391,39.6,0.19811813904861475
35751,48000,238,49.4,0.25210084033613445
35752,47002,2682,43.5,0.13497390007457122
35754,50417,5300,42.5,0.18547169811320754
35755,46364,450,57.1,0.26666666666666666
35756,94737,13855,34.8,0.18058462648863227
35757,91765,16909,39,0.18085043467975634
35758,91900,46724,38.9,0.1904588648232172
35759,90655,8113,40.4,0.14002218661407617
35760,53831,4876,41.7,0.1726825266611977
35761,64521,12547,41.1,0.18307165059376743
35763,121158,19855,40.4,0.13014354066985645
35764,28750,540,53,0.1111111111111111
35765,37429,3633,48,0.14450867052023122
35766,-,155,49.1,0.23225806451612904
