,PostalCode,Population,Median_Income,PerUnder60
14687,68949,7950,201690,0.88
14688,68950,340,8223,0.88
14689,68955,2720,69466,0.89
14690,68956,1500,33836,0.89
14691,68957,750,14983,0.85
14692,68958,750,17258,0.88
14693,68959,4940,123461,0.89
14694,68961,810,18283,0.85
14695,68966,770,13245,0.87
14696,68967,1250,25222,0.89
14697,68970,1340,25151,0.85
14698,68971,370,9752,0.81
14699,68973,580,13735,0.88
14700,68977,300,4293,0.87
14701,68978,2370,51775,0.84
14702,68979,2210,53477,0.85
14703,68980,510,12959,0.9
14704,68981,400,8532,0.88
14705,68982,730,15873,0.86
14706,69001,10410,244003,0.88
14707,69020,480,10305,0.88
14708,69021,1250,32196,0.86
14709,69022,1850,40599,0.85
14710,69023,420,8817,0.86
14711,69024,1310,25418,0.87
14712,69025,1030,18181,0.88
14713,69028,900,22996,0.86
14714,69029,440,7507,0.86
14715,69030,290,6025,0.83
14716,69032,500,8913,0.84
14717,69033,3210,76768,0.88
14718,69034,960,21912,0.85
14719,69038,480,8644,0.85
14720,69040,590,10685,0.86
14721,69043,560,9769,0.84
14722,69044,880,15069,0.89
14723,69045,1080,19883,0.87
14724,69101,33040,779040,0.89
14725,69120,1140,24923,0.85
14726,69121,310,4850,0.84
14727,69122,720,14288,0.86
14728,69123,1030,24685,0.89
14729,69125,300,6709,0.83
14730,69127,770,21771,0.82
14731,69128,290,5580,0.86
14732,69129,1310,28686,0.85
14733,69130,6300,129472,0.9
14734,69131,560,13205,0.84
14735,69133,360,7254,0.86
14736,69134,360,9807,0.89
14737,69138,5420,121002,0.89
14738,69140,2050,48792,0.87
14739,69141,370,10644,0.81
14740,69143,1710,41184,0.88
14741,69145,3180,74959,0.85
14742,69146,260,6886,0.73
14743,69147,590,11355,0.76
14744,69149,750,16220,0.84
14745,69150,660,13341,0.91
14746,69151,920,17575,0.9
14747,69152,930,19073,0.84
14748,69153,6570,150268,0.87
14749,69154,1220,22848,0.84
14750,69155,1120,25769,0.88
14751,69156,650,17166,0.85
14752,69162,8600,205976,0.89
14753,69163,1010,19485,0.88
14754,69165,2090,48033,0.89
14755,69166,710,12554,0.87
14756,69167,400,6959,0.88
14757,69168,280,5156,0.86
14758,69169,700,14483,0.89
14759,69170,480,7545,0.9
14760,69201,4350,95553,0.87
14761,69210,2590,54376,0.86
14762,69211,410,8059,0.9
14763,69217,570,11128,0.84
14764,69301,11390,266541,0.88
14765,69334,2320,42075,0.88
14766,69336,2620,71497,0.88
14767,69337,6250,132160,0.88
14768,69339,1430,30977,0.83
14769,69341,12740,261470,0.9
14770,69343,2540,50283,0.87
14771,69345,580,8971,0.9
14772,69346,510,10324,0.84
14773,69347,1360,25371,0.85
14774,69348,1640,34143,0.86
14775,69350,410,9273,0.83
14776,69352,580,9161,0.88
14777,69356,1970,37573,0.89
14778,69357,4090,84158,0.89
14779,69358,2170,41154,0.89
14780,69360,1290,23537,0.84
14781,69361,19820,431436,0.89
14782,69366,340,4879,0.91
14783,99999,23330,556829,0.85
14784,0,3575410,105482114,0.91
14785,89001,1270,21266,0.91
14786,89002,46350,1345196,0.92
14787,89005,15900,661859,0.81
14788,89008,1180,25287,0.86
14789,89010,420,8335,0.86
14790,89011,36540,1455375,0.9
14791,89012,39720,2059438,0.87
14792,89013,300,6949,0.77
14793,89014,47160,1312378,0.91
14794,89015,45940,1011993,0.9
14795,89019,2730,48942,0.89
14796,89020,1220,16735,0.91
