ZIPCODE,POPULATION,MEDIAN_INCOME,PER_UNDER_60
50457,410,9684,0.853658537
50458,2260,53415,0.876106195
50459,3510,82217,0.86039886
50460,470,7531,0.914893617
50461,6440,161959,0.861801242
50464,760,15570,0.868421053
50466,1990,41902,0.879396985
50468,1800,43056,0.872222222
50469,1920,46643,0.895833333
50470,260,5742,0.846153846
50471,760,17838,0.855263158
50472,2790,71042,0.878136201
50473,310,5788,0.870967742
50475,1870,47424,0.86631016
50476,880,19889,0.863636364
50477,280,6411,0.821428571
50478,850,20461,0.858823529
50479,720,17321,0.875
50480,990,23509,0.838383838
50482,1060,29814,0.877358491
50483,860,19777,0.872093023
50484,460,9382,0.869565217
50501,28630,687120,0.881942019
50510,1220,28099,0.860655738
50511,8400,241130,0.857142857
50514,1490,35546,0.832214765
50515,270,5884,0.851851852
50516,860,19588,0.895348837
50517,1070,24961,0.831775701
50518,380,9526,0.894736842
50519,690,13567,0.884057971
50522,830,18146,0.855421687
50523,750,14668,0.906666667
50524,570,16909,0.859649123
50525,4160,89468,0.879807692
50528,380,9421,0.842105263
50529,950,19621,0.894736842
50530,1320,25226,0.901515152
50532,1060,23043,0.905660377
50533,4370,83216,0.892448513
50535,1140,23783,0.885964912
50536,4660,110663,0.864806867
50538,620,12256,0.887096774
50539,500,10976,0.84
50540,1230,27347,0.87804878
50541,1000,19050,0.88
50542,1050,24305,0.866666667
50543,1630,36191,0.877300613
50544,600,11097,0.9
50545,270,5746,0.888888889
50546,380,8146,0.842105263
50548,7110,204295,0.874824191
50554,1670,40087,0.850299401
50556,300,7385,0.833333333
50557,800,16290,0.8625
50558,680,17263,0.838235294
50559,360,8541,0.805555556
50560,620,12556,0.870967742
50561,620,13063,0.870967742
50562,470,11692,0.829787234
50563,2810,74657,0.857651246
50565,400,10188,0.825
50566,500,11753,0.88
50568,1680,38698,0.892857143
50569,750,19055,0.853333333
50571,400,9065,0.8
50574,2430,59477,0.83127572
50575,890,19647,0.842696629
50576,420,10076,0.857142857
50577,400,8805,0.825
50578,540,13729,0.851851852
50579,2820,62582,0.854609929
50581,980,21236,0.87755102
50582,230,4431,0.826086957
50583,3010,73033,0.850498339
50585,1400,32180,0.892857143
50586,330,6699,0.848484848
50588,16910,356584,0.921348315
50590,970,18065,0.855670103
50591,370,7765,0.891891892
50594,280,6515,0.857142857
50595,10050,240984,0.876616915
50597,1570,37524,0.859872611
50598,1190,25062,0.899159664
50599,380,10163,0.842105263
50601,2700,62000,0.851851852
50602,1780,41805,0.842696629
50603,720,12706,0.902777778
50604,2130,46396,0.877934272
50606,940,18161,0.861702128
50607,580,13057,0.879310345
